M0001|[Promotional Staff]
M0749|So, I'm supposed to go to him and see if he's ok, right?
M0750|If so, can you please deliver this letter to him?
M0751|You believe me!!
M0752|My friend, Otto, is working on the barrier in the west.
M0753|Ah, did you lose the letter?
M0754|That's ok. It's no big deal.
M0755|I'll write it again.
M0756|Instructor! I met Otto!
M0757|He is doing very well~
M0758|Phew, it's really good to hear.
M0759|I was so worried about him
M0760|being sick and far away
M0761|from his homeland.
M0762|I have a letter from him, too.
M0763|Huh, ehh..?!?!
M0764|I am far away from my home
M0765|the feeling that family and
M0766|friends give to me are really important.
M0767|I don't know how to thank you.
M0768|Hehe, don't mention it.
M0769|And Otto said that he
M0770|would come to see you.
M0771|Did he?
M0772|It's been so long
M0773|since we last met.
M0774|Thanks for doing that.
M0775|My friend wrote me that he
M0776|would have some spare time.
M0777|It is good to see you,
M0778|"+ strcharinfo(0) +",
M0779|enjoy yourself here.
M0780|If you have any troubles,
M0781|come to see me.
M0782|I so happy that I've
M0783|met a person like
M0784|It seems that I nave no time to rest this week.
M0785|- too many items with you. -
M0786|- Please try again -
M0787|- after you lose some weight. -
M0788|Mr. Otto?!
M0789|[Otto]
M0790|Hmm, how can I help you?
M0791|Instructor Lugen sent me!
M0792|He is worrying about you getting worse.
M0793|Oh, is he...
M0794|It was just a cold.
M0795|It was nothing.
M0796|He's still overprotective..
M0797|That's good to hear.
M0798|Ah, and he wrote this letter for you.
M0799|Eh, where is it...
M0800|We are not allowed to leave our posts,
M0801|so I am wondering about him, as well.
M0802|A letter, I never expected this, huhu.
M0803|- Otto is reading the letter -
M0804|- with the smile on his face. -
M0805|I am sorry but, can you please
M0806|tell him that I am ok now by
M0807|giving him this letter.
M0808|And I will have a vacation
M0809|in the near future and will
M0810|use that time to visit him.
M0811|You lost the letter?
M0812|Thanks to you,
M0813|I was able to meet
M0814|him some days ago.
M0815|He, wasn't feeling good, either.
M0816|It seems that I will
M0817|have more free time,
M0818|so I will take that time
M0819|to visit him more often.
M0820|This place has a totally different environment on both sides.
M0821|Is it natural,
M0822|or artificial?
M0823|[Brink]
M0824|Hmm... Hey...
M0825|...I mean...
M0826|...I would...
M0827|...What makes...
M0828|Hmmm... Hey...
M0829|...register...
M0830|I mean...
M0831|Ah... I mean...
M0832|...Hey...
M0833|What...your name...
M0834|My name is "+ strcharinfo(0) +".
M0835|"+ strcharinfo(0) +"...
M0836|You...
M0837|...registered...Hmm...
M0838|Here...
M0839|sign...
M0840|Hmmm...
M0841|and...
M0842|Is it finished?
M0843|...Yes...
M0844|Then...
M0845|And...
M0846|......This thing...
M0847|...Ehh...
M0848|- I guess I'm registered -
M0849|- I'd better go back to Lugen -
M0850|...Well...nice...
M0851|...Life...
M0852|...Hmmm...
M0853|[Diego]
M0854|Wow, this is tent is big!
M0855|Hey, you there, adventurer. Please help me.
M0856|Thanks.
M0857|What do you need?
M0858|When I passed by here...
M0859|I kicked the post by mistake
M0860|and now it's broken.
M0861|I need to ask others for help
M0862|while I hold this post up.
M0863|Well, let me see...
M0864|I'm really lucky to see you,
M0865|passing by here, "+ strcharinfo(0) +".
M0866|Hah!! How did you know my name?!
M0867|It's on your nameplate.
M0868|While I hold this post up,
M0869|please get materials to fix it.
M0870|I need the bar to sustain this
M0871|post and a rope to tie it.
M0872|You can find many trees
M0873|west of the camp for branches
M0874|that we can use as a post.
M0875|And you can find the weird
M0876|plant called ^0000FFNepenthes^000000
M0877|at the field east of the camp it's vines are very strong.
M0878|I think we should be
M0879|able to fix this with
M0880|^0000FF20 Ordinary Branches and 20 Strong Vine^000000.
M0881|Please bring them to me!!!
M0882|You're too harsh.
M0883|Sob...
M0884|You finally brought
M0885|the materials!
M0886|I'm so grateful!!
M0887|Ok, so while I hold this post,
M0888|please attach the branches
M0889|and tie it up with the vines.
M0890|Please do the same for the other one.
M0891|- Wait a minute !! -
M0892|- Currently you're carrying -
M0893|Thanks to your help,
M0894|I can protect the barracks.
M0895|When I was in trouble,
M0896|you came along.
M0897|It's got to be fate.
M0898|No, I just...
M0899|I was assigned to stay
M0900|in these barracks.
M0901|Then it this really is fate!!!
M0902|And this is the special
M0903|product of this camp,
M0904|^0000FFChocolate Pie^000000.
M0905|Please come in and
M0906|take some rest for the
M0907|expedition tomorrow!!
M0908|I'm busy right now!
M0909|- It's a neat and tidy bed -
M0910|- It seems that I will use this one. -
M0911|Haaaam~~~~~
M0912|what a good night!!
M0913|- I slept well -
M0914|- and feel better. -
M0915|- I think I need to go -
M0916|- to Instructor Lugen -
M0917|- The bed that I use -
M0918|- It is comfortable. -.
M0919|[Lucas]
M0920|...Hmm...
M0921|Replacement?
M0922|The Federal team's still...
M0923|send us people using the
M0924|dangerous way.
M0925|I have been here for a long time.
M0926|To breach the dimensional crack, the assassin team was deployed first...
M0927|However, most of my men...
M0928|No, just ignore what I said.
M0929|You seem to live hard all the time...
M0930|The motherland constantly
M0931|sends us people...
M0932|Is that passage safe?
M0933|I walked too much...
M0934|and my body hurts.
M0935|Hey, is that for me?
M0936|Yes...
M0937|[Jan]
M0938|Ahhh, it's exciting~
M0939|I love it.
M0940|I want to unwrap it right now~
M0941|Please tell the Instructor
M0942|I'm grateful~
M0943|Uhuhu.
M0944|Why hasn't the product
M0945|that I ordered one month
M0946|ago come yet?
M0947|I really wanted it.
M0948|I really love it~~
M0949|What is... it~~?
M0950|It, it's a secret...
M0951|The more I study around here,
M0952|the more I find strange things.
M0953|It seems to stimulate my
M0954|passion as a scientist?
M0955|Yes, I am.
M0956|Instructor Lugen sent
M0957|me for an errand.
M0958|[Gerard]
M0959|Ah! Supplies.
M0960|The supplies that ran out.
M0961|I am so hungry that
M0962|I was considering
M0963|going back to the camp.
M0964|I really appreciate this.
M0965|You ran out of supplies, but
M0966|you didn't go back to the camp?
M0967|Yes.
M0968|This place is really interesting
M0969|and I don't want to leave at all.
M0970|Please tell the instructor that
M0971|I won't be back for some time.
M0972|Hhhh, I am starving.
M0973|When will the supplies come?
M0974|It is killing me...
M0975|Hu, I am full now.
M0976|Time to continue on
M0977|with the exploration!!!
M0978|I was born in a desert
M0979|and have never seen
M0980|a field so green.
M0981|So, to study here.
M0982|is very interesting.
M0983|By the way... is this a
M0984|mushroom or a tree?
M0985|Mr. Alberto, take this.
M0986|The Instructor sent
M0987|me on an errand.
M0988|[Alberto]
M0989|I finally got it.
M0990|My coat...sniff.
M0991|It's freezing here.
M0992|Sniff...
M0993|- rustling sound -
M0994|Ah, I am sorry but...
M0995|My hands are so cold
M0996|that I cannot open it.
M0997|Can you open it for me?.
M0998|- Opening someone -
M0999|- else's stuff makes -
M1000|- me feel strange. -
M1001|Here it is.
M1002|Hopefully it'll warm you up.
M1003|Yes I really appreciate it.
M1004|It makes me feel alive.
M1005|that I am still alive.
M1006|Sniff.
M1007|It's so cold here~~
M1008|the wind chills me to the bones~
M1009|I am still cold even
M1010|with this heavy coat.
M1011|I need to order more clothes.
M1012|What are these weird
M1013|structures set up
M1014|here and there?
M1015|[Alix]
M1016|Huu, I made this and
M1017|this is really great.
M1018|When I am back
M1019|to the motherland,
M1020|I will open a shop for it!!
M1021|Have you had it?
M1022|My chocolate pie!!!
M1023|This food is a real miracle!!
M1024|Where is she?
M1025|[Biolay]
M1026|I was just wandering
M1027|around Morocc and
M1028|became faint. then
M1029|I found myself here.
M1030|I want to go back to my house.
M1031|- You find a branch -
M1032|- Break! -
M1033|- Bomb, bomb~~ -
M1034|- You got the branch. -
M1035|- This branch is decayed. -
M1036|This is useless.
M1037|I need to find others...
M1038|- There's nothing useful. -
M1039|- The posts of the -
M1040|- barracks are broken. -
M1041|- You'd better go out and -
M1042|- find the materials to fix it. -
M1043|- There are broken posts. -
M1044|- Unless they are fixed soon, -
M1045|- the barracks will collapse. -
M1046|- You attach the tree bar -
M1047|- to the broken post -
M1048|- You tie the broken post -
M1049|- It seems that it's fixed -
M1050|Oh! Now you need to
M1051|knot it and finish it.
M1052|- You tie a perfect knot -
M1053|And this post should be knotted.
M1054|Then please do it to that post.
M1055|- You decide to leave -
M1056|- The branches slide down. -
M1057|- You failed to fix it. -
M1058|Why aren't you helping?
M1059|- You fix the broken post -
M1060|- with the vines. -
M1061|- It seems that you-
M1062|- need more branches. -
M1063|This post is repaired.
M1064|Please do the same thing
M1065|on the other posts.
M1066|- The post tied by the -
M1067|- vines seems unsteady -
M1068|- but my repair is perfect. -
M1069|Oh! Now you need to knot it and
M1070|finish it.
M1071|Ohhh!!!!
M1072|The broken posts are perfectly fixed!
M1073|[Monster Scholar]
M1074|Who... Who are you?
M1075|Are you from the other
M1076|side of the space gap?
M1077|Say, are you a scholar,
M1078|soldier, or village
M1079|representative?
M1080|Oh, I'm sorry.
M1081|You don't have to tell
M1082|me if you don't want to...
M1083|Please go ahead and do
M1084|what you have to do.
M1085|Oh, me? Don't worry.
M1086|I'm fine by myself.
M1087|I'm Rumis Block, and
M1088|I'm working here on behalf of
M1089|the monsternomics academy
M1090|from the Schwarzwald Republic.
M1091|Botanist Terris Block is
M1092|my older twin brother.
M1093|[Rumis Block]
M1094|This place is freezing. Not only
M1095|that, it's deserted and too
M1096|quiet... Everything around us is
M1097|watching and threatening us.
M1098|You know, I didn't want to
M1099|come here...
M1100|In fact, none of us
M1101|wanted to come here.
M1102|I mean, no one knows
M1103|what kind of danger lurks
